Job Title,Employment Type,Experience Level,Salary,Company Location,Employee Residence,Company Size,Year
Data Engineer,Full-Time,Senior,152375,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,94000,United States,United States,Medium,2023
Data Analyst,Full-Time,Senior,115934,United States,United States,Medium,2023
Data Analyst,Full-Time,Senior,81666,United States,United States,Medium,2023
Data Analyst,Full-Time,Mid,79000,United States,United States,Medium,2023
Research Scientist,Full-Time,Senior,273400,United States,United States,Medium,2023
Research Scientist,Full-Time,Senior,182200,United States,United States,Medium,2023
Data Analyst,Full-Time,Mid,160000,United States,United States,Medium,2023
Data Analyst,Full-Time,Mid,112000,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,285000,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,154000,United States,United States,Medium,2023
Applied Scientist,Full-Time,Senior,220000,United States,United States,Medium,2023
Applied Scientist,Full-Time,Senior,170000,United States,United States,Medium,2023
Data Engineer,Full-Time,Executive,174500,United States,United States,Medium,2023
Data Engineer,Full-Time,Executive,113000,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,225000,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,125000,United States,United States,Medium,2023
Data Engineer,Full-Time,Mid,200000,United States,United States,Medium,2023
Data Engineer,Full-Time,Mid,180000,United States,United States,Medium,2023
Applied Scientist,Full-Time,Mid,250000,United States,United States,Medium,2023
Applied Scientist,Full-Time,Mid,125000,United States,United States,Medium,2023
Data Analyst,Full-Time,Mid,90000,United States,United States,Medium,2023
Research Scientist,Full-Time,Mid,275000,United States,United States,Medium,2023
Research Scientist,Full-Time,Mid,200000,United States,United States,Medium,2023
Data Analyst,Full-Time,Mid,80000,United States,United States,Medium,2023
Data Analyst,Full-Time,Senior,115000,United States,United States,Medium,2023
Data Analyst,Full-Time,Senior,75000,United States,United States,Medium,2023
Data Analyst,Full-Time,Senior,138860,United States,United States,Medium,2023
Data Analyst,Full-Time,Senior,122720,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,231500,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,118000,United States,United States,Medium,2023
Data Scientist,Full-Time,Executive,299500,United States,United States,Medium,2023
Data Scientist,Full-Time,Executive,249600,United States,United States,Medium,2023
Business Intelligence Engineer,Full-Time,Senior,185000,United States,United States,Large,2023
Business Intelligence Engineer,Full-Time,Senior,79600,United States,United States,Large,2023
Data Engineer,Full-Time,Mid,120000,United States,United States,Medium,2023
Data Engineer,Full-Time,Mid,110000,United States,United States,Medium,2023
Data Analyst,Full-Time,Mid,100000,United States,United States,Medium,2023
Data Analyst,Full-Time,Mid,75000,United States,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,297000,United States,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,138000,United States,United States,Medium,2023
Data Scientist,Full-Time,Mid,135000,United States,United States,Medium,2023
Data Scientist,Full-Time,Mid,105000,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,267100,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,167200,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,202000,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,174350,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,126800,United States,United States,Medium,2023
Data Architect,Full-Time,Senior,188500,United States,United States,Medium,2023
Data Architect,Full-Time,Senior,117000,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,150931,United States,United States,Medium,2023
Data Scientist,Full-Time,Senior,143250,United States,United States,Medium,2023
AI Architect,Full-Time,Senior,330000,United States,United States,Medium,2023
AI Architect,Full-Time,Senior,204000,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,200000,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,160000,United States,United States,Medium,2023
Data Engineer,Full-Time,Senior,205600,United States,United States,Large,2023
