Job Title,Experience Level,Salary,Employee Residence,Company Size,Year
Data Analyst,2,119800,0,1,2023
Data Engineer,2,75000,0,1,2023
Data Architect,2,200000,0,1,2023
Data Analyst,2,280000,0,1,2023
Data Analyst,2,200000,0,1,2023
ML Engineer,2,383910,0,1,2023
ML Engineer,2,315850,0,1,2023
Data Scientist,2,235000,0,1,2023
Data Scientist,2,204000,0,1,2023
Applied Scientist,1,198000,0,1,2023
Applied Scientist,1,132000,0,1,2023
Data Scientist,1,141600,0,1,2023
Data Scientist,1,94400,0,1,2023
Data Engineer,1,135000,0,1,2023
Data Engineer,1,108000,0,1,2023
Data Scientist,2,209450,0,1,2023
Data Scientist,2,167560,0,1,2023
Other,2,185000,0,1,2021
Other,2,164000,0,1,2020
Data Engineer,2,122000,0,1,2023
Data Engineer,0,80000,0,1,2023
Data Engineer,0,52500,0,1,2023
Data Scientist,2,238000,0,1,2023
Data Scientist,2,149500,0,1,2023
Data Scientist,2,258000,0,1,2023
Data Engineer,2,186600,0,1,2023
Data Engineer,2,116500,0,1,2023
Data Engineer,2,220000,0,1,2023
Data Scientist,2,228000,0,1,2023
Applied Scientist,2,175000,0,1,2023
Applied Scientist,2,145000,0,1,2023
Data Analyst,2,195000,0,1,2023
Data Analyst,2,140000,0,1,2023
Data Engineer,2,180000,0,1,2023
Research Scientist,1,220000,0,1,2023
Research Scientist,1,190000,0,1,2023
Other,2,167500,0,1,2023
Other,2,106500,0,1,2023
Data Scientist,2,278700,0,1,2023
Data Scientist,2,159300,0,1,2023
Data Scientist,2,323300,0,1,2023
Data Scientist,2,184700,0,1,2023
Data Engineer,2,170000,0,1,2023
Data Engineer,2,120000,0,1,2023
Data Engineer,2,166364,0,1,2023
Data Engineer,2,116455,0,1,2023
Other,2,145000,0,1,2023
Other,2,125000,0,1,2023
Data Engineer,1,95000,0,1,2023
Data Engineer,1,76000,0,1,2023
Data Analyst,2,160000,0,1,2023
Data Analyst,2,131000,0,1,2023
Data Scientist,2,168000,0,1,2023
Machine Learning Engineer,2,250000,0,1,2023
Machine Learning Engineer,2,140000,0,1,2023
Data Engineer,2,145000,0,1,2023
Data Scientist,2,222000,0,1,2023
Data Scientist,2,166500,0,1,2023
Data Engineer,2,205600,0,1,2023
Data Engineer,2,105700,0,1,2023
Other,2,138000,0,1,2023
Other,2,67000,0,1,2023
Research Engineer,2,211200,0,1,2023
Research Engineer,2,176000,0,1,2023
Data Analyst,2,230000,0,1,2023
Data Analyst,2,135000,0,1,2023
Data Analyst,1,60000,0,1,2023
Other,2,200000,0,1,2023
Other,2,180000,0,1,2023
Data Scientist,2,155000,0,1,2023
Data Scientist,2,139500,0,1,2023
Research Scientist,0,200000,0,1,2023
Research Scientist,0,120000,0,1,2023
Data Scientist,3,126500,0,1,2023
Data Scientist,3,78000,0,1,2023
Data Scientist,2,157750,0,1,2023
Data Scientist,2,104650,0,1,2023
Data Scientist,2,176000,0,1,2023
Data Scientist,2,133000,0,1,2023
Data Analyst,1,120000,0,1,2023
Research Scientist,1,158080,0,1,2023
Data Analyst,2,182000,0,1,2023
Data Analyst,2,150000,0,1,2023
Data Engineer,2,171250,0,1,2023
Data Engineer,2,113750,0,1,2023
Data Engineer,2,252000,0,1,2023
Data Engineer,2,129000,0,1,2023
Machine Learning Engineer,2,231000,0,1,2023
Machine Learning Engineer,2,200800,0,1,2023
Research Scientist,0,250800,0,1,2023
Research Scientist,0,167200,0,1,2023
Data Scientist,2,159100,0,1,2023
Data Scientist,2,120160,0,1,2023
Analytics Engineer,2,140000,0,1,2023
Analytics Engineer,2,110000,0,1,2023
Machine Learning Engineer,1,165000,0,1,2023
Machine Learning Engineer,1,149094,0,1,2023
Other,3,290000,0,2,2023
Other,2,247500,0,1,2023
Other,2,172200,0,1,2023
Data Engineer,2,175000,0,1,2023
Data Engineer,2,130000,0,1,2023
Data Analyst,2,85000,0,1,2023
Data Analyst,2,72250,0,1,2023
Data Engineer,3,162500,0,1,2023
Data Engineer,3,130000,0,1,2023
Other,2,83000,0,1,2023
Other,2,63967,0,1,2023
Other,2,188600,0,1,2023
Other,2,111550,0,1,2023
Machine Learning Engineer,2,219300,0,1,2023
Machine Learning Engineer,2,143000,0,1,2023
Machine Learning Engineer,2,232200,0,1,2023
Machine Learning Engineer,2,133300,0,1,2023
Data Engineer,2,80000,0,1,2023
Data Engineer,1,198900,0,1,2023
Data Engineer,1,183310,0,1,2023
Machine Learning Engineer,2,392000,0,1,2023
Machine Learning Engineer,2,224000,0,1,2023
Data Engineer,2,233000,0,1,2023
Data Engineer,2,199098,0,1,2023
Data Engineer,2,172000,0,1,2023
Data Engineer,2,107000,0,1,2023
