job_title,experience_level,Salary,company_location,company_size,Year,over_100K,over_150K
Data Engineer,1,94000,United States,1,2023,0,0
Data Analyst,2,134000,United States,1,2023,1,0
Data Analyst,2,120000,United States,1,2023,1,0
Data Engineer,2,258750,United States,1,2023,1,1
Data Engineer,2,172500,United States,1,2023,1,1
Machine Learning Engineer,2,254000,United States,1,2023,1,1
Machine Learning Engineer,2,200000,United States,1,2023,1,1
Other,2,230000,United States,1,2023,1,1
Other,2,196000,United States,1,2023,1,1
Other,1,128000,United States,1,2023,1,0
Other,1,81500,United States,1,2023,0,0
Data Engineer,3,220000,United States,1,2023,1,1
Data Engineer,3,150000,United States,1,2023,1,1
Data Engineer,2,155000,United States,1,2023,1,1
Data Engineer,2,109528,United States,1,2023,1,0
Machine Learning Engineer,2,269500,United States,1,2023,1,1
Machine Learning Engineer,2,166600,United States,1,2023,1,1
Other,2,160000,United States,2,2023,1,1
Data Analyst,2,93919,United States,1,2023,0,0
Data Analyst,2,51962,United States,1,2023,0,0
Data Architect,2,180000,United States,1,2023,1,1
Data Architect,2,115000,United States,1,2023,1,0
Data Analyst,2,186600,United States,1,2023,1,1
Data Analyst,2,119800,United States,1,2023,1,0
Data Engineer,2,75000,United States,1,2023,0,0
Data Architect,2,200000,United States,1,2023,1,1
Data Analyst,2,280000,United States,1,2023,1,1
Data Analyst,2,200000,United States,1,2023,1,1
Other,2,383910,United States,1,2023,1,1
Other,2,315850,United States,1,2023,1,1
Data Scientist,2,235000,United States,1,2023,1,1
Data Scientist,2,204000,United States,1,2023,1,1
Other,1,198000,United States,1,2023,1,1
Other,1,132000,United States,1,2023,1,0
Data Scientist,1,141600,United States,1,2023,1,0
Data Scientist,1,94400,United States,1,2023,0,0
Data Engineer,1,135000,United States,1,2023,1,0
Data Engineer,1,108000,United States,1,2023,1,0
Data Scientist,2,209450,United States,1,2023,1,1
Data Scientist,2,167560,United States,1,2023,1,1
Other,2,185000,United States,1,2021,1,1
Other,2,164000,United States,1,2020,1,1
Data Engineer,2,122000,United States,1,2023,1,0
Data Engineer,0,80000,United States,1,2023,0,0
Data Engineer,0,52500,United States,1,2023,0,0
Data Scientist,2,238000,United States,1,2023,1,1
Data Scientist,2,149500,United States,1,2023,1,0
Data Scientist,2,258000,United States,1,2023,1,1
Data Engineer,2,186600,United States,1,2023,1,1
Data Engineer,2,116500,United States,1,2023,1,0
Data Engineer,2,220000,United States,1,2023,1,1
Data Scientist,2,228000,United States,1,2023,1,1
Other,2,175000,United States,1,2023,1,1
Other,2,145000,United States,1,2023,1,0
Data Analyst,2,195000,United States,1,2023,1,1
Data Analyst,2,140000,United States,1,2023,1,0
Data Engineer,2,180000,United States,1,2023,1,1
Research Scientist,1,220000,United States,1,2023,1,1
Research Scientist,1,190000,United States,1,2023,1,1
Other,2,167500,United States,1,2023,1,1
